,TVT
1,0.819999999999709
2,0.8299999999999272
3,0.8299999999999272
4,0.8299999999999272
5,0.8299999999999272
6,0.819999999999709
7,0.8299999999999272
8,0.8300000000017462
9,0.8299999999999272
10,0.8299999999981083
11,0.8400000000019645
12,0.8399999999983265
13,0.8299999999999272
14,0.8400000000001455
15,0.8400000000001455
16,0.8299999999999272
17,0.8400000000001455
18,0.8400000000001455
19,0.8299999999999272
20,0.8500000000003638
21,0.8400000000001455
22,0.8399999999983265
23,0.8500000000003638
24,0.8400000000001455
25,0.8500000000003638
26,0.8400000000001455
27,0.8400000000001455
28,0.8500000000003638
29,0.8400000000001455
30,0.8499999999985448
31,0.8500000000021828
32,0.8599999999987631
33,0.8500000000003638
34,0.8499999999985448
35,0.8500000000003638
36,0.8500000000003638
37,0.8500000000003638
38,0.8500000000003638
39,0.8599999999987631
40,0.8500000000021828
41,0.8599999999987631
42,0.8599999999987631
43,0.8600000000024011
44,0.8599999999987631
45,0.8600000000005821
46,0.8599999999987631
47,0.8500000000003638
48,0.8600000000005821
49,0.8599999999987631
50,0.8700000000008004
51,0.8600000000005821
52,0.8700000000008004
53,0.8699999999989814
54,0.8599999999987631
55,0.8700000000008004
56,0.8600000000005821
57,0.8699999999989814
58,0.8700000000008004
59,0.8599999999987631
60,0.8800000000010186
61,0.8699999999989814
62,0.8700000000008004
63,0.8799999999991996
64,0.8700000000008004
65,0.8700000000008004
66,0.8799999999991996
67,0.8700000000008004
68,0.8700000000008004
69,0.8799999999991996
70,0.8799999999991996
71,0.8799999999991996
72,0.8800000000010186
73,0.8799999999991996
74,0.8800000000010186
75,0.8799999999991996
76,0.8800000000010186
77,0.8799999999991996
78,0.8800000000010186
79,0.8799999999991996
80,0.8899999999994179
81,0.8900000000012369
82,0.8899999999994179
83,0.8899999999994179
84,0.8800000000010186
85,0.8899999999994179
86,0.8899999999994179
87,0.8900000000012369
88,0.8899999999994179
89,0.8799999999991996
90,0.9000000000014552
91,0.8899999999994179
92,0.9000000000014552
93,0.8999999999978172
94,0.8900000000012369
95,0.8999999999996362
96,0.8900000000012369
97,0.8999999999978172
98,0.8900000000012369
99,0.8999999999996362
100,0.8999999999996362
101,0.8999999999996362
102,0.9099999999998545
103,0.9000000000014552
104,0.8999999999996362
105,0.8999999999996362
106,0.9099999999998545
107,0.8999999999996362
108,0.8999999999996362
109,0.9000000000014552
110,0.9099999999998545
111,0.9099999999998545
112,0.9099999999998545
113,0.9099999999998545
114,0.9099999999998545
115,0.8999999999996362
116,0.9099999999998545
117,0.9099999999998545
118,0.9099999999998545
119,0.9100000000016735
120,0.9099999999998545
121,0.9099999999998545
122,0.9200000000000728
123,0.9099999999998545
124,0.9099999999998545
125,0.9200000000000728
126,0.9099999999998545
127,0.9200000000000728
128,0.9099999999998545
129,0.9099999999998545
130,0.9200000000000728
131,0.9200000000000728
132,0.9200000000000728
133,0.9200000000000728
134,0.9200000000000728
135,0.9200000000000728
136,0.9099999999998545
137,0.9200000000000728
138,0.9200000000000728
139,0.9200000000000728
140,0.9200000000000728
141,0.930000000000291
142,0.9199999999982538
143,0.930000000000291
144,0.9200000000000728
145,0.9200000000000728
146,0.930000000000291
147,0.9200000000000728
148,0.930000000000291
149,0.9200000000000728
150,0.930000000000291
151,0.930000000000291
152,0.929999999998472
153,0.930000000000291
154,0.930000000000291
155,0.930000000000291
156,0.9200000000000728
157,0.930000000000291
158,0.930000000000291
159,0.929999999998472
160,0.9400000000005093
161,0.930000000000291
162,0.930000000000291
163,0.9399999999986903
164,0.930000000000291
165,0.9400000000005093
166,0.930000000000291
167,0.9400000000005093
168,0.929999999998472
169,0.9400000000023283
170,0.929999999998472
171,0.9400000000005093
172,0.9399999999986903
173,0.9400000000023283
174,0.9399999999986903
175,0.9400000000005093
176,0.9399999999986903
177,0.9400000000005093
178,0.9400000000005093
179,0.9399999999986903
180,0.9500000000007276
181,0.9400000000005093
182,0.9499999999989086
183,0.9400000000023283
184,0.9399999999986903
185,0.9499999999989086
186,0.9400000000023283
187,0.9499999999989086
188,0.9399999999986903
189,0.9500000000007276
190,0.9500000000007276
191,0.9499999999989086
192,0.9500000000007276
193,0.9499999999989086
194,0.9500000000007276
195,0.9500000000007276
196,0.9499999999989086
197,0.9500000000007276
198,0.9499999999989086
199,0.9500000000007276
200,0.9400000000005093
201,0.9499999999989086
202,0.9500000000007276
203,0.9400000000005093
204,0.9499999999989086
205,0.9400000000005093
206,0.9500000000007276
207,0.9499999999989086
208,0.9400000000005093
209,0.9500000000007276
210,0.929999999998472
211,0.9200000000000728
212,0.930000000000291
213,0.930000000000291
214,0.930000000000291
215,0.930000000000291
216,0.930000000000291
217,0.929999999998472
218,0.9200000000000728
219,0.930000000000291
220,0.9200000000018917
221,0.929999999998472
222,0.9200000000000728
223,0.9200000000000728
224,0.9200000000000728
225,0.9200000000000728
226,0.9200000000000728
227,0.9200000000000728
228,0.930000000000291
229,0.9200000000000728
230,1.0599999999994907
231,1.0600000000013097
232,1.0599999999976717
233,1.070000000001528
234,1.0599999999994907
235,1.0600000000013097
236,1.0599999999976717
237,1.0600000000013097
238,1.069999999999709
239,1.0600000000013097
240,1.06999999999789
241,1.069999999999709
242,1.0799999999999272
243,1.070000000001528
244,1.0799999999999272
245,1.069999999999709
246,1.069999999999709
247,1.0799999999999272
248,1.069999999999709
249,1.069999999999709
250,1.0900000000001455
251,1.0799999999999272
252,1.0900000000001455
253,1.0799999999999272
254,1.0900000000001455
255,1.0799999999999272
256,1.0900000000019645
257,1.0799999999981083
258,1.0900000000019645
259,1.0799999999999272
260,1.0999999999985448
261,1.1000000000003638
262,1.0900000000001455
263,1.0999999999985448
264,1.1000000000003638
265,1.0900000000001455
266,1.1000000000003638
267,1.1000000000003638
268,1.0900000000001455
269,1.1000000000003638
270,1.109999999998763
271,1.1000000000003638
272,1.110000000000582
273,1.109999999998763
274,1.110000000000582
275,1.1000000000003638
276,1.110000000000582
277,1.109999999998763
278,1.110000000000582
279,1.1000000000003638
280,1.1199999999989814
281,1.1200000000008004
282,1.1199999999989814
283,1.1200000000008004
284,1.1199999999989814
285,1.1200000000008004
286,1.1200000000008004
287,1.109999999998763
288,1.1200000000008004
289,1.1199999999989814
290,1.1300000000010186
291,1.1299999999991996
292,1.1300000000010186
293,1.1300000000010186
294,1.1299999999991996
295,1.1200000000008004
296,1.1299999999991996
297,1.1299999999991996
298,1.1299999999991996
299,1.1300000000010186
300,1.139999999999418
301,1.1300000000010186
302,1.139999999999418
303,1.139999999999418
304,1.1300000000010186
305,1.139999999999418
306,1.1300000000010186
307,1.139999999999418
308,1.140000000001237
309,1.1299999999991996
310,1.1499999999996362
311,1.140000000001237
312,1.139999999997599
313,1.1500000000014552
314,1.139999999999418
315,1.139999999999418
316,1.140000000001237
317,1.1499999999996362
318,1.140000000001237
319,1.139999999997599
320,1.1500000000014552
321,1.1499999999996362
322,1.1499999999996362
323,1.1499999999996362
324,1.1499999999996362
325,1.1500000000014552
326,1.1499999999996362
327,1.1499999999996362
328,1.1499999999996362
329,1.1499999999996362
330,1.1600000000016735
331,1.1499999999996362
332,1.1599999999998545
333,1.1599999999998545
334,1.1499999999996362
335,1.1600000000016735
336,1.1599999999980355
337,1.1499999999996362
338,1.1600000000016735
339,1.1499999999996362
340,1.1700000000000728
341,1.1599999999998545
342,1.1599999999998545
343,1.1700000000000728
344,1.1599999999998545
345,1.1599999999998545
346,1.1700000000000728
347,1.1599999999998545
348,1.1599999999998545
349,1.1600000000016735
350,1.1700000000000728
351,1.1699999999982538
352,1.1700000000000728
353,1.1700000000000728
354,1.1700000000000728
355,1.1700000000000728
356,1.1700000000000728
357,1.1700000000000728
358,1.1700000000000728
359,1.1700000000000728
360,1.1700000000000728
361,1.180000000000291
362,1.179999999998472
363,1.1700000000000728
364,1.180000000000291
365,1.1700000000018917
366,1.179999999998472
367,1.1700000000000728
368,1.180000000000291
369,1.180000000000291
